HDAC5_D2_3	HDAC5_D2_4	HDAC5_D2_1	HDAC5_D2_2	WT_D2_3	WT_D2_4	WT_D2_1	WT_D2_2
Abca16	1.89014603844254	1.85593733916427	2.06113405698973	2.1360744871812	2.00621132921489	2.05064275355509	1.9420310879814	2.07048348735539
Abca17	3.71566262042447	3.70531007825754	3.87652343323894	4.00805513883135	3.89770167488276	3.90341574773478	3.8265639932915	3.87911701946045
Abca2	9.46235855912243	9.15579291868879	9.15887038455948	8.67613940569668	9.07340471695675	9.03764844065333	8.89229429932315	8.74815001052993
Abca3	7.50890855574985	7.29208271499666	7.31664333222219	7.13319735681611	7.3301459905518	7.3104025024777	7.24948041152657	7.12363411065415
Abca4	4.11268482310988	4.00666146230019	4.20076211680417	4.39081117206142	4.20034358788656	4.20401782421697	4.2094917180362	4.3162426349461
Abca5	6.30167559311289	5.72097307981145	5.67016488518978	5.42179738846397	5.84737074444205	5.74833087590075	5.85141700394414	5.52459798567064
Abca6	2.72930229193111	2.67791629348702	2.85273855510013	2.8565146622107	2.74352909578277	2.84676689306554	2.76463263084531	2.99808432135917
Abca7	5.98758819488236	6.00197901150072	6.16502372182305	6.12107457781951	5.99891413099067	6.11003719396613	5.97766995791808	6.208487930064
Abca8a	6.72298111301077	6.40079743092987	6.17704933728092	5.68282710629381	6.17187421095039	6.05870656559581	6.11659490380748	5.84374629648456
Abca9	4.48662969534014	4.59313705373089	4.46050704507496	4.35057245664902	4.16746026205288	4.10440657641169	4.19114041399118	4.25273633301377
Abcb10	5.87036431298399	5.88706558558453	5.96881930408555	6.07455035205477	6.13199329002245	6.05743302893588	6.06083751128024	6.06756387651577
Abcb11	3.11759774875308	3.06135484776638	3.22123358164177	3.54455077660853	3.27301822864321	3.34861385410558	3.36440373328164	3.41177648889345
Abcb1a	6.24673219011569	6.84139428244579	6.29879659447391	6.36585276378406	5.71730243108038	5.7675101908591	6.02052707355806	6.01917914581089
Abcb1b	4.98479682150686	5.24650625705588	4.95760284515842	5.00963202971913	4.47303402685179	4.43696368946539	4.67810751789206	4.75619826455241
Abcb4	5.33763086012912	5.28801924362443	5.13154988123021	4.9568037199371	4.84264950492102	4.82922300552495	4.92734533666309	4.92235931954327
Abcb5	4.34383919593139	4.2818158137255	4.54384902925898	4.53162386128801	4.35690404622753	4.58757964636692	4.33081253656502	4.52222213393263
Abcb6	6.94010525072746	7.03345988025171	6.80066501674748	6.69571296082773	6.66333397074481	6.6321490891802	6.72291538147421	6.60598004293317
